MRID,FAVORITE,NOM_POPULAR,DSC_NOME,VLR_CLIMATICA,VEL_CRESCIMENTO,DSC_CRESCIMENTO,DIM_TRONCO_NOVO,DIM_TRONCO_ANTIGO,DSC_CRESCIMENTO_1,DSC_CRESCIMENTO_2,DSC_CRESCIMENTO_3,DSC_CRESCIMENTO_4,DSC_CRESCIMENTO_5,DSC_CRESCIMENTO_6,DSC_CRESCIMENTO_7,DSC_CRESCIMENTO_8,DSC_CRESCIMENTO_9,DSC_CRESCIMENTO_10,DSC_CRESCIMENTO_11,DSC_CRESCIMENTO_12,DENSITY
1,0,NAO ESPECIFICADO,GENERICA,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,2","0,3",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
11,0,ALFENEIRO,LIGUSTRUM LUCIDUM,"Tropical,Subtropical",Rapido,Perene,"0,2","0,48",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
12,0,AMENDOIM BRAVO,PLATYPODIUM ELEGANS,"Equatorial,Tropical,Subtropical",Lento,Semi,"0,2","0,5",Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Repouso,Repouso,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
13,0,AMENDOIM DO CAMPO,PLATYPODIUM ELEGANS,"Equatorial,Tropical,Subtropical",Lento,Semi,"0,2","0,48",Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Repouso,Repouso,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
14,0,ANGICO-VERMELHO,ANADENANTHERA COLUBRINA,"Temperado,Tropical,Subtropical",Lento,Sazonal,"0,15","0,32",Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Repouso,Repouso,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
15,0,ARAUCARIA,ARAUCARIA ANGUSTIFOLIA,"Temperado,Subtropical",Rapido,Perene,"0,3","1,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
16,0,AROEIRA-BRANCA,LITHRAEA MOLLEOIDES,"Equatorial,Tropical,Subtropical",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
17,0,AROEIRA SALSA,SCHINUS MOLLE,"Equatorial,Tropical,Subtropical",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
18,0,BONIFACIO,MAPROUNEA GUIANENSIS,"Equatorial,Tropical,Subtropical",Lento,Sazonal,"0,1","0,32",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
19,0,CAJUEIRO,ANACARDIUM OCCIDENTALE,"Equatorial,Arido,Tropical,Subtropical,Litoraneo",Lento,Perene,"0,25","0,56",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
