ID,ID_POSTE,ESPECIE,LATITUDE,LONGITUDE,ALTURA(m),Image_Path
AR118,29528390,AMENDOEIRA (PRUNUS DULCIS),-11.085953,-37.142313,5,data/imagem/AR118_118.jpg
AR388,29292824,AMENDOEIRA (PRUNUS DULCIS),-11.100737,-37.130935,12,data/imagem/AR388_388.jpg
AR433,29399234,AMENDOEIRA (PRUNUS DULCIS),-11.059398,-37.112322,7,data/imagem/AR433_433.jpg
AR440,29292488,AMENDOEIRA (PRUNUS DULCIS),-11.058442,-37.111283,9,data/imagem/AR440_440.jpg
AR459,29321014,AMENDOEIRA (PRUNUS DULCIS),-11.060544,-37.109789,6,data/imagem/AR459_459.jpg
AR460,29321014,AMENDOEIRA (PRUNUS DULCIS),-11.060603,-37.109737,6,data/imagem/AR460_460.jpg
AR486,29292090,AMENDOEIRA (PRUNUS DULCIS),-11.056271,-37.113849,14,data/imagem/AR486_486.jpg
AR558,29363133,AMENDOEIRA (PRUNUS DULCIS),-11.022039,-37.095317,13,data/imagem/AR558_558.jpg
AR659,29440358,AMENDOEIRA (PRUNUS DULCIS),-11.012112,-37.078394,10,data/imagem/AR659_659.jpg
AR598,29270940,AMENDOEIRA (PRUNUS DULCIS),-11.002383,-37.087987,12,data/imagem/AR598_598.jpg
AR638,29439368,AMENDOEIRA (PRUNUS DULCIS),-11.020775,-37.083988,10,data/imagem/AR638_638.jpg
AR642,29296045,AMENDOEIRA (PRUNUS DULCIS),-11.019257,-37.072396,6,data/imagem/AR642_642.jpg
AR643,29398116,AMENDOEIRA (PRUNUS DULCIS),-11.018575,-37.07211,9,data/imagem/AR643_643.jpg
AR3337,29444206,AMENDOEIRA (PRUNUS DULCIS),-11.109318,-37.261768,5,data/imagem/AR3337_3337.jpg
AR3373,29324689,AMENDOEIRA (PRUNUS DULCIS),-11.08816,-37.227914,6,data/imagem/AR3373_3373.jpg
AR3446,29374670,AMENDOEIRA (PRUNUS DULCIS),-10.978421,-37.352342,12,data/imagem/AR3446_3446.jpg
AR3448,211458082,AMENDOEIRA (PRUNUS DULCIS),-10.976157,-37.348992,6,data/imagem/AR3448_3448.jpg
AR3487,29469095,AMENDOEIRA (PRUNUS DULCIS),-10.978117,-37.377317,9,data/imagem/AR3487_3487.jpg
AR4252,29344305,AMENDOEIRA (PRUNUS DULCIS),-11.035185,-37.47543,13,data/imagem/AR4252_4252.jpg
AR4280,29343354,AMENDOEIRA (PRUNUS DULCIS),-11.035807,-37.481993,13,data/imagem/AR4280_4280.jpg
AR4793,29493529,AMENDOEIRA (PRUNUS DULCIS),-11.119251,-37.517736,14,data/imagem/AR4793_4793.jpg
AR5177,29495557,AMENDOEIRA (PRUNUS DULCIS),-11.026668,-37.5083,5,data/imagem/AR5177_5177.jpg
AR5185,29492852,AMENDOEIRA (PRUNUS DULCIS),-11.00499,-37.523133,5,data/imagem/AR5185_5185.jpg
AR5510,29320069,AMENDOEIRA (PRUNUS DULCIS),-10.815906,-36.952475,8,data/imagem/AR5510_5510.jpg
AR5805,29443653,AMENDOEIRA (PRUNUS DULCIS),-10.912758,-37.027356,9,data/imagem/AR5805_5805.jpg
AR6810,29423309,AMENDOEIRA (PRUNUS DULCIS),-10.697321,-37.25856,15,data/imagem/AR6810_6810.jpg
AR6252,29357911,AMENDOEIRA (PRUNUS DULCIS),-10.698438,-37.020306,15,data/imagem/AR6252_6252.jpg
AR1551,29229586,AROEIRA,-10.916142,-37.161113,7,data/imagem/AR1551_1551.jpg
AR1027,29304783,AROEIRA,-10.851793,-37.136661,7,data/imagem/AR1027_1027.jpg
AR1275,29305445,AROEIRA,-10.880083,-37.128806,9,data/imagem/AR1275_1275.jpg
AR1294,29305999,AROEIRA,-10.880247,-37.116977,7,data/imagem/AR1294_1294.jpg
AR186,29397841,AROEIRA,-11.085252,-37.152145,6,data/imagem/AR186_186.jpg
